Keyword;Search Volume
하객 원피스;390
면접 복장;3600
면접 정장;880
졸업식 정장;90
장례식 복장;9900
파티룩;210
여름 코디;2900
겨울 코디;2400
봄 코디;1600
가을 코디;1300
간절기 코디;20
환절기 옷;30
장마철 신발;210
초겨울 코디;90
봄 원피스;480
여름 원피스;1300
겨울 코트;2400
가을 자켓;170
발리 옷;70
공항 패션;880
물놀이 옷;90
부모님 선물;1300
엄마 선물;590
아빠 선물;590
남편 선물;50
아내 선물;110
발렌타인 선물;170
친구 생일선물;1600
크리스마스 선물;5400
결혼 선물;1000
골프 코디;20
등산복;2900
헬스복;590
테니스 룩;90
자전거 복장;210
수영장 옷;10
하체비만 코디;140
통통 코디;4400
마른 체형 코디;40
키 작은 여자 코디;170
중년 여성 패션;140
대학생 코디;390
빈티지 코디;390
스트릿 패션;5400
결혼식 하객룩;1900
소개팅룩;1600
데이트룩;1300
여름 휴가룩;50
동남아 여행룩;30
비치웨어;1000
리조트룩;140
휴양지룩;260
남자친구 선물;590
여자친구 선물;2400
어버이날 선물;5400
어린이날 선물;1900
화이트데이 선물;2900
골프웨어;2400
캠핑룩;140
요가복;1900
러닝복;480
오피스룩;6600
러블리룩;110
걸리시룩;30
캐주얼룩;1600
모던룩;390
클래식룩;260
페미닌룩;2400
시크룩;170
데일리룩;9900
