Keyword;Search Volume
가습기;18100
공기청정기;12100
냉풍기;5400
선풍기;22200
에어컨;135000
온풍기;6600
전기요;880
제습기;14800
히터;9900
휴대폰;14800
휴대폰 케이스;4400
건식 다리미;90
건조기;6600
고데기;4400
로봇 청소기;18100
면도기;4400
물걸레 청소기;1600
미싱;1900
살균기;210
세탁기;60500
스틱 청소기;20
스팀 다리미;2900
스팀 청소기;2900
안마기;2900
안마의자;4400
스피커;22200
핸디 청소기;590
침구 청소기;1000
진공 청소기;4400
족욕기;1900
제모기;1900
TV;27100
액세서리;2900
게임기;5400
오디오;4400
이어폰;12100
헤드폰;9900
와플;12100
오븐;4400
냉장고;90500
데스크탑;8100
마우스;22200
모니터;18100
컴퓨터 주변기기;170
키보드;49500
인덕션;9900
하이라이트;12100
팬;4400
제빙기;4400
커피머신;4400
토스트기;1300
튀김기;1300
카메라 액세서리;30
캠코더;3600
DSLR;3600
노트북;40500
프린터;4400
휴대용 선풍기;2900
카메라;49500
다리미;2900
스트랩;6600
캔버스;8100
샤프트;4400
로스트볼;720
케이스;6600
하프백;260
스파이크;3600
렌치;5400
여성골프화;170
드라이버;6600
아이언;12100
웨지;880
퍼터;8100
자외선차단;590
우비;3600
후드티셔츠;14800
사파리;18100
야구;450000
가죽;2900
브리프;3600
트렁크;9900
드로즈;5400
캐주얼 셋업;90
슬랙스;14800
소파;9900
주방 수납장;1300
책상;14800
책장;8100
침대;18100
시스템 거실장;20
아일랜드 식탁;5400
옷장;5400
스툴;4400
서랍장;8100
소파베드;1300
거실장;1900
렌지대;590
매트리스;8100
벤치;6600
신발 정리대;260
신발장;4400
원목 선반;480
원목 수납장;320
원목 행거;390
거울 행거;20
디자인 의자;210
바 체어;480
벽 선반;2400
사이드 테이블;2400
선반 행거;170
협탁;4400
화장대;4400
확장형 식탁;390
테라스;4400
토퍼;9900
멀티탭;9900
다리미판;590
건조대;1000
구강 케어;10
접이식 테이블;3600
철제 선반;5400
철제 수납장;720
틈새 서랍장;210
플라스틱 선반;140
플라스틱 수납장;210
속옷 정리함;170
수건;49500
타월;1000
서류함;320
생리대;5400
모니터 받침대;5400
방향제;3600
종이 정리함;30
책꽂이;2900
독서대;3600
욕실화;480
옷걸이;9900
휴지통;22200
가위;12100
교자상;1600
냄비;8100
플라스틱 정리함;10
햄퍼;170
행잉 오거나이저;20
화장품 정리함;590
탈취제;2900
테이프 클리너;30
플라스틱 서랍장;880
청소;40500
압력솥;1000
앞치마;6600
숟가락;5400
술잔;880
쌀통;1000
저그;3600
보온;480
수세미;22200
수저통;720
도마;6600
돌솥;1000
러너;4400
머그;390
트레이;4400
티스푼;1300
퐁듀;2900
피크닉 도시락;720
필러;3600
믹싱볼;720
