code,brand,org
0A,알레그리,e-영업1
0D,닥스,e-영업1
0F,블루 라운지,e-영업2
0G,닥스,e-영업1
0H,헤지스,e-영업1
0I,닥스,e-영업1
0J,질스튜어트 뉴욕,e-영업1
0JY,제이에스엔와이 유,e-영업1
0KO,킨,e-영업1
0L,라푸마,e-영업1
0M,마에스트로,e-영업1
0O,닥스,e-영업2
0R,일 꼬르소,e-영업1
0S,헤지스,e-영업1
0T,티엔지티,e-영업1
0TT,티엔지티,e-영업1
0U,마에스트로,e-영업2
0Y,헤지스,e-영업1
0Z,헤지스,e-영업1
1057,빈스,e-영업1
1D,닥스,e-영업1
1E,빈스,e-영업1
1H,챔피온,e-영업1
1I,제이에스앤와이,e-영업2
1K,탐스,e-영업2
1L,질 바이 질 스튜어트,e-영업1
1P,피즈,e-영업1
1Q,바쉬,e-영업1
1T,질스튜어트 스포츠,e-영업1
1X,더블플래그,e-영업1
1Z,질스튜어트,e-영업1
2B,헤지스,e-영업1
2C,불리,e-영업4
2E,앳코너,e-영업1
2I,이자벨마랑,e-영업1
2J,질스튜어트 뉴욕,e-영업1
2L,질 바이 질스튜어트,e-영업1
2N,제이에스엔와이,e-영업1
2S,보센,e-영업4
2T,티톤 브로스,e-영업1
A001,알레그리,e-영업1
A007,버켄스탁,e-영업1
A025,스티그마,e-영업3
A028,제이모드,e-영업3
A033,어거스트 앨리스,e-영업3
A043,바이엘,e-영업3
A066,느와,e-영업3
A071,발망,e-영업3
A079,에잇볼륨,e-영업3
A090,스텔라 매카트니,e-영업3
A093,디올,e-영업3
A106,토리버치,e-영업3
A110,알렉산더 맥퀸,e-영업3
A112,보테가 베네타,e-영업3
A114,발망,e-영업3
A116,톰브라운,e-영업3
A117,자넬라토,e-영업3
A119,기타브랜드,e-영업4
A128,닥스셔츠,e-영업3
A138,디올,e-영업3
A139,디올,e-영업3
A141,토즈,e-영업3
A152,프라다,e-영업3
A153,구찌,e-영업3
A154,발렌시아가,e-영업3
A156,살바토레 페라가모,e-영업3
A158,생 로랑,e-영업3
A159,멀버리,e-영업3
A160,버버리,e-영업3
A164,보테가 베네타,e-영업3
A166,코치넬레,e-영업3
A169,피스메이커,e-영업3
A183,이세이미야케,e-영업3
A219,스와로브스키,e-영업3
A227,크리스챤모드,e-영업3
A229,가이거,e-영업3
A230,티센토,e-영업3
A231,폴브리알,e-영업3
A235,프리마클라쎄,e-영업3
A237,라코스테,e-영업3
A267,몽블랑,e-영업3
A268,크리스찬 루부탱,e-영업3
A269,닐 바렛,e-영업3
A272,링스,e-영업4
A277,구찌,e-영업3
A281,겐조,e-영업3
A285,가이거,e-영업3
A288,론진,e-영업3
A289,발렌티노 루디,e-영업3
A290,세이코,e-영업3
A291,시티즌,e-영업3
A292,에테르노,e-영업3
A293,포체,e-영업3
A306,트루링크스웨어,e-영업4
A307,파르펠레,e-영업3
A322,아디다스,e-영업3
A323,발리,e-영업3
A342,에르노,e-영업3
A347,파라점퍼스,e-영업3
A352,몬데인,e-영업3
A355,오메가,e-영업3
A356,프레드릭 콘스탄트,e-영업3
A364,파라점퍼스,e-영업3
A368,톰브라운,e-영업3
A375,스텔라 매카트니,e-영업3
A378,미즈노,e-영업4
A385,겐조,e-영업3
A386,조르지오 아르마니,e-영업3
A388,몽블랑,e-영업3
A389,모스키노,e-영업3
A391,게스,e-영업3
A392,윌슨,e-영업3
A404,에르노,e-영업3
A407,롱샴,e-영업3
A410,앨리스마샤,e-영업3
A411,몽블랑,e-영업3
A413,디젤,e-영업3
A415,아르마니,e-영업3
A423,트리젠코,e-영업3
A426,오리스,e-영업3
A429,마이클코어스,e-영업3
A430,코치,e-영업3
A433,닥스,e-영업3
A434,킨더스 코너,e-영업3
A435,헤지스,e-영업3
A436,폴스미스,e-영업3
A437,스톤아일랜드,e-영업3
A439,판도라,e-영업3
A446,베디베로,e-영업3
A448,살바토레 페라가모,e-영업3
A450,에트로,e-영업3
A453,폴스미스,e-영업3
A455,에드하디,e-영업3
A472,토리버치,e-영업3
A480,끌로에,e-영업3
A481,버버리,e-영업3
A484,에트로,e-영업3
A485,살바토레 페라가모,e-영업3
A489,겐지,e-영업3
A491,투미,e-영업3
A493,큐티에잇 가먼츠,e-영업3
A499,릭오웬스,e-영업3
A500,발리,e-영업3
A506,파울라 카데마르토리,e-영업3
A507,살바토레 페라가모,e-영업3
A508,생 로랑,e-영업3
A509,프라다,e-영업3
A511,미우미우,e-영업3
A514,셀린느,e-영업3
A515,버버리,e-영업3
A516,보테가 베네타,e-영업3
A518,발렌티노,e-영업3
A519,엠에스지엠,e-영업3
A525,내셔널 퍼블리시티,e-영업3
A529,마르니,e-영업3
A531,폴스미스,e-영업3
A540,이세이미야케,e-영업3
A543,꼼데가르송,e-영업3
A549,로에베,e-영업3
A551,쟈딕앤볼테르,e-영업3
A567,조슈아 샌더스,e-영업3
A569,롱샴,e-영업3
A573,베르사체,e-영업3
A588,끌로에,e-영업3
A590,투미,e-영업3
A592,루이스카딘,e-영업3
A600,봉통,e-영업3
A604,던롭,e-영업4
A605,핑,e-영업4
A606,마루망,e-영업4
A613,플라즈마스페어,e-영업3
A617,스팽스,e-영업3
A623,구아나바나,e-영업3
A631,뷰티레시피,e-영업4
A640,훌라,e-영업3
A645,스와로브스키,e-영업3
A661,노이커먼,e-영업3
A663,켈빈클라인,e-영업3
A669,발렌시아가,e-영업3
A671,버버리,e-영업3
