키워드,검색량,네이버검색량,대표검색량,추이,섹션,Status,순위,우선순위
결혼식 하객룩,1900,38300,38300,급하락,이벤트/TPO,신규,1,1순위
하객 원피스,390,6160,6160,급하락,이벤트/TPO,신규,3,3순위
면접 복장,3600,4280,4280,급하락,이벤트/TPO,신규,4,4순위
면접 정장,880,2550,2550,급하락,이벤트/TPO,신규,5,5순위
소개팅룩,1600,1810,1810,급하락,이벤트/TPO,신규,7,7순위
데이트룩,1300,1920,1920,하락,이벤트/TPO,신규,6,6순위
졸업식 정장,90,65,65,급상승,이벤트/TPO,신규,11,11순위
입학식 옷,0,10,10,급상승,이벤트/TPO,신규,14,14순위
상견례 룩,0,910,910,급하락,이벤트/TPO,신규,8,8순위
돌잔치 옷,0,890,890,급하락,이벤트/TPO,신규,9,9순위
장례식 복장,9900,12250,12250,급하락,이벤트/TPO,신규,2,2순위
파티룩,210,280,280,급하락,이벤트/TPO,신규,10,10순위
연말 모임룩,0,10,10,급하락,이벤트/TPO,신규,15,15순위
동창회 옷,0,15,15,유지,이벤트/TPO,신규,12,12순위
발표회 옷,0,15,15,유지,이벤트/TPO,신규,13,13순위
여름 코디,2900,2110,2110,급상승,시즌/날씨,신규,4,4순위
겨울 코디,2400,370,370,급하락,시즌/날씨,신규,6,6순위
봄 코디,1600,140,140,급상승,시즌/날씨,신규,8,8순위
가을 코디,1300,3100,3100,급하락,시즌/날씨,신규,3,3순위
간절기 코디,20,80,80,급하락,시즌/날씨,신규,9,9순위
환절기 옷,30,15,15,급하락,시즌/날씨,신규,13,13순위
장마철 신발,210,50,50,급상승,시즌/날씨,신규,11,11순위
초여름 옷,0,10,10,유지,시즌/날씨,신규,14,14순위
한여름 옷,0,25,25,,시즌/날씨,신규,12,12순위
초겨울 코디,90,70,70,급하락,시즌/날씨,신규,10,10순위
봄 원피스,480,350,350,하락,시즌/날씨,신규,7,7순위
여름 원피스,1300,27370,27370,급상승,시즌/날씨,신규,1,1순위
겨울 코트,2400,1770,1770,급하락,시즌/날씨,신규,5,5순위
가을 자켓,170,4080,4080,급하락,시즌/날씨,신규,2,2순위
여름 휴가룩,50,2180,2180,급상승,휴가/여행,신규,5,5순위
제주도 여행룩,0,310,310,급하락,휴가/여행,신규,8,8순위
발리 옷,70,220,220,급하락,휴가/여행,신규,11,11순위
동남아 여행룩,30,310,310,급하락,휴가/여행,신규,9,9순위
호캉스룩,0,260,260,상승,휴가/여행,신규,10,10순위
비치웨어,1000,6460,6460,급상승,휴가/여행,신규,1,1순위
리조트룩,140,640,640,급상승,휴가/여행,신규,7,7순위
해외여행 옷,0,70,70,급하락,휴가/여행,신규,12,12순위
휴양지룩,260,4400,4400,급하락,휴가/여행,신규,2,2순위
여행 원피스,0,650,650,유지,휴가/여행,신규,6,6순위
