CEP,CEP축,CEP검색량,카테고리,섹션,카테고리검색량,조합키워드,조합점수,실제검색량,네이버검색량,네이버경쟁,KD,대표실제검색량,검증,우선순위
결혼 선물,선물/관계,6190,반지,주얼리/시계,41780,결혼 반지,16082,4400.0,,,,4400.0,검증됨,1
골프웨어,활동/스포츠,56560,거리측정기,골프,26800,골프 거리측정기,38933,1600.0,,,,1600.0,검증됨,2
여름 원피스,시즌/날씨,65000,원피스,의류,154700,여름 원피스,100277,1300.0,,,,1300.0,검증됨,3
여름 원피스,시즌/날씨,65000,샌들,신발,100300,여름 샌들,80743,880.0,,,,880.0,검증됨,4
골프웨어,활동/스포츠,56560,티셔츠,의류,30300,골프 티셔츠,41398,880.0,,,,880.0,검증됨,5
여름 원피스,시즌/날씨,65000,바지,의류,22050,여름 바지,37858,880.0,,,,880.0,검증됨,6
골프웨어,활동/스포츠,56560,드라이버,골프,17330,골프 드라이버,31308,880.0,,,,880.0,검증됨,7
여름 원피스,시즌/날씨,65000,셔츠,의류,22740,여름 셔츠,38446,720.0,,,,720.0,검증됨,8
여름 원피스,시즌/날씨,65000,운동화,신발,70600,여름 운동화,67742,590.0,,,,590.0,검증됨,9
여름 원피스,시즌/날씨,65000,바람막이,의류,42400,여름 바람막이,52498,590.0,,,,590.0,검증됨,10
골프웨어,활동/스포츠,56560,바지,의류,22050,골프 바지,35315,590.0,,,,590.0,검증됨,11
여름 원피스,시즌/날씨,65000,블라우스,의류,55400,여름 블라우스,60008,480.0,,,,480.0,검증됨,12
여름 원피스,시즌/날씨,65000,슬랙스,의류,15340,여름 슬랙스,31577,480.0,,,,480.0,검증됨,13
요가복,활동/스포츠,38900,바지,의류,22050,요가 바지,29287,480.0,,,,480.0,검증됨,14
골프웨어,활동/스포츠,56560,퍼터,골프,12460,골프 퍼터,26547,480.0,,,,480.0,검증됨,15
러닝복,활동/스포츠,11260,바지,의류,22050,러닝 바지,15757,480.0,,,,480.0,검증됨,16
하객 원피스,이벤트/TPO,7330,원피스,의류,154700,하객 원피스,33674,390.0,,,,390.0,검증됨,17
헬스복,활동/스포츠,6750,운동화,신발,70600,헬스 운동화,21830,390.0,,,,390.0,검증됨,18
여름 원피스,시즌/날씨,65000,슬리퍼,신발,122500,여름 슬리퍼,89233,320.0,,,,320.0,검증됨,19
여름 원피스,시즌/날씨,65000,티셔츠,의류,30300,여름 티셔츠,44379,320.0,,,,320.0,검증됨,20
여름 원피스,시즌/날씨,65000,앞치마,의류,45610,여름 앞치마,54449,260.0,,,,260.0,검증됨,21
골프웨어,활동/스포츠,56560,아이언,골프,23270,골프 아이언,36279,260.0,,,,260.0,검증됨,22
휴양지룩,휴가/여행,4100,원피스,의류,154700,휴양지 원피스,25185,260.0,,,,260.0,검증됨,23
아빠 선물,선물/관계,1490,시계,주얼리/시계,357600,아빠 시계,23083,260.0,,,,260.0,검증됨,24
골프웨어,활동/스포츠,56560,바람막이,의류,42400,골프 바람막이,48971,210.0,,,,210.0,검증됨,25
장례식 복장,이벤트/TPO,13350,운동화,신발,70600,장례식 운동화,30700,210.0,,,,210.0,검증됨,26
여름 원피스,시즌/날씨,65000,구두,신발,21010,여름 구두,36955,170.0,,,,170.0,검증됨,27
면접 복장,이벤트/TPO,5480,운동화,신발,70600,면접 운동화,19669,170.0,,,,170.0,검증됨,28
장례식 복장,이벤트/TPO,13350,구두,신발,21010,장례식 구두,16748,170.0,,,,170.0,검증됨,29
등산복,활동/스포츠,9430,바람막이,의류,42400,등산 바람막이,19996,140.0,,,,140.0,검증됨,30
공항 패션,휴가/여행,2940,캐리어,가방,122300,공항 캐리어,18962,140.0,,,,140.0,검증됨,31
장례식 복장,이벤트/TPO,13350,셔츠,의류,22740,장례식 셔츠,17424,140.0,,,,140.0,검증됨,32
여름 원피스,시즌/날씨,65000,스니커즈,신발,31090,여름 스니커즈,44954,110.0,,,,110.0,검증됨,33
여름 원피스,시즌/날씨,65000,로퍼,신발,19740,여름 로퍼,35820,110.0,,,,110.0,검증됨,34
등산복,활동/스포츠,9430,샌들,신발,100300,등산 샌들,30754,110.0,,,,110.0,검증됨,35
비치웨어,휴가/여행,5900,원피스,의류,154700,비치 원피스,30211,110.0,,,,110.0,검증됨,36
비치웨어,휴가/여행,5900,샌들,신발,100300,비치 샌들,24326,110.0,,,,110.0,검증됨,37
결혼 선물,선물/관계,6190,목걸이,주얼리/시계,63900,결혼 목걸이,19888,110.0,,,,110.0,검증됨,38
면접 복장,이벤트/TPO,5480,블라우스,의류,55400,면접 블라우스,17424,110.0,,,,110.0,검증됨,39
소개팅룩,이벤트/TPO,1810,원피스,의류,154700,소개팅 원피스,16733,110.0,,,,110.0,검증됨,40
골프웨어,활동/스포츠,56560,원피스,의류,154700,골프 원피스,93541,90.0,,,,90.0,검증됨,41
여름 원피스,시즌/날씨,65000,장화,신발,32670,여름 장화,46082,90.0,,,,90.0,검증됨,42
골프웨어,활동/스포츠,56560,셔츠,의류,22740,골프 셔츠,35863,90.0,,,,90.0,검증됨,43
등산복,활동/스포츠,9430,운동화,신발,70600,등산 운동화,25802,90.0,,,,90.0,검증됨,44
장례식 복장,이벤트/TPO,13350,바지,의류,22050,장례식 바지,17157,90.0,,,,90.0,검증됨,45
러닝복,활동/스포츠,11260,샌들,신발,100300,러닝 샌들,33606,50.0,,,,50.0,검증됨,46
비치웨어,휴가/여행,5900,수영복,수영/비치,89900,비치 수영복,23031,40.0,,,,40.0,검증됨,47
등산복,활동/스포츠,9430,티셔츠,의류,30300,등산 티셔츠,16904,40.0,,,,40.0,검증됨,48
여름 원피스,시즌/날씨,65000,뮬,신발,141900,여름 뮬,96039,30.0,,,,30.0,검증됨,49
데일리룩,스타일/무드,78500,운동화,신발,70600,데일리 운동화,74445,30.0,,,,30.0,검증됨,50
결혼식 하객룩,이벤트/TPO,40330,운동화,신발,70600,결혼식 하객 운동화,53360,30.0,,,,30.0,검증됨,51
데일리룩,스타일/무드,78500,스니커즈,신발,31090,데일리 스니커즈,49402,30.0,,,,30.0,검증됨,52
데일리룩,스타일/무드,78500,바지,의류,22050,데일리 바지,41604,30.0,,,,30.0,검증됨,53
데일리룩,스타일/무드,78500,구두,신발,21010,데일리 구두,40611,30.0,,,,30.0,검증됨,54
면접 복장,이벤트/TPO,5480,원피스,의류,154700,면접 원피스,29116,30.0,,,,30.0,검증됨,55
러닝복,활동/스포츠,11260,우비,의류,22620,러닝 우비,15959,30.0,,,,30.0,검증됨,56
데일리룩,스타일/무드,78500,원피스,의류,154700,데일리 원피스,110200,20.0,,,,20.0,검증됨,57
여름 원피스,시즌/날씨,65000,런닝화,신발,54020,여름 런닝화,59256,20.0,,,,20.0,검증됨,58
결혼 선물,선물/관계,6190,시계,주얼리/시계,357600,결혼 시계,47048,20.0,,,,20.0,검증됨,59
부모님 선물,선물/관계,4390,시계,주얼리/시계,357600,부모님 시계,39622,20.0,,,,20.0,검증됨,60
오피스룩,스타일/무드,8570,원피스,의류,154700,오피스 원피스,36411,20.0,,,,20.0,검증됨,61
결혼식 하객룩,이벤트/TPO,40330,셔츠,의류,22740,결혼식 하객 셔츠,30284,20.0,,,,20.0,검증됨,62
결혼식 하객룩,이벤트/TPO,40330,구두,신발,21010,결혼식 하객 구두,29109,20.0,,,,20.0,검증됨,63
엄마 선물,선물/관계,1720,시계,주얼리/시계,357600,엄마 시계,24801,20.0,,,,20.0,검증됨,64
스트릿 패션,스타일/무드,3770,원피스,의류,154700,스트릿 원피스,24150,20.0,,,,20.0,검증됨,65
면접 복장,이벤트/TPO,5480,샌들,신발,100300,면접 샌들,23444,20.0,,,,20.0,검증됨,66
오피스룩,스타일/무드,8570,블라우스,의류,55400,오피스 블라우스,21789,20.0,,,,20.0,검증됨,67
면접 복장,이벤트/TPO,5480,백팩,가방,75600,면접 백팩,20354,20.0,,,,20.0,검증됨,68
하객 원피스,이벤트/TPO,7330,블라우스,의류,55400,하객 블라우스,20151,20.0,,,,20.0,검증됨,69
헬스복,활동/스포츠,6750,런닝화,신발,54020,헬스 런닝화,19095,20.0,,,,20.0,검증됨,70
스트릿 패션,스타일/무드,3770,운동화,신발,70600,스트릿 운동화,16314,20.0,,,,20.0,검증됨,71
페미닌룩,스타일/무드,1700,원피스,의류,154700,페미닌 원피스,16217,20.0,,,,20.0,검증됨,72
데일리룩,스타일/무드,78500,샌들,신발,100300,데일리 샌들,88733,10.0,,,,10.0,검증됨,73
결혼식 하객룩,이벤트/TPO,40330,원피스,의류,154700,결혼식 하객 원피스,78988,10.0,,,,10.0,검증됨,74
데일리룩,스타일/무드,78500,뮬,신발,141900,데일리 뮬,105542,,,,,,미조회,75
데일리룩,스타일/무드,78500,슬리퍼,신발,122500,데일리 슬리퍼,98062,,,,,,미조회,76
골프웨어,활동/스포츠,56560,뮬,신발,141900,골프 뮬,89587,,,,,,미조회,77
골프웨어,활동/스포츠,56560,슬리퍼,신발,122500,골프 슬리퍼,83238,,,,,,미조회,78
요가복,활동/스포츠,38900,원피스,의류,154700,요가 원피스,77575,,,,,,미조회,79
데일리룩,스타일/무드,78500,아쿠아슈즈,신발,76100,데일리 아쿠아슈즈,77291,,,,,,미조회,80
결혼식 하객룩,이벤트/TPO,40330,뮬,신발,141900,결혼식 하객 뮬,75649,,,,,,미조회,81
골프웨어,활동/스포츠,56560,샌들,신발,100300,골프 샌들,75319,,,,,,미조회,82
요가복,활동/스포츠,38900,뮬,신발,141900,요가 뮬,74296,,,,,,미조회,83
여름 원피스,시즌/날씨,65000,아쿠아슈즈,신발,76100,여름 아쿠아슈즈,70331,,,,,,미조회,84
결혼식 하객룩,이벤트/TPO,40330,슬리퍼,신발,122500,결혼식 하객 슬리퍼,70288,,,,,,미조회,85
결혼식 하객룩,이벤트/TPO,40330,캐리어,가방,122300,결혼식 하객 캐리어,70231,,,,,,미조회,86
요가복,활동/스포츠,38900,슬리퍼,신발,122500,요가 슬리퍼,69031,,,,,,미조회,87
결혼 선물,선물/관계,6190,크림,뷰티/향수,732600,결혼 크림,67341,,,,,,미조회,88
데일리룩,스타일/무드,78500,블라우스,의류,55400,데일리 블라우스,65946,,,,,,미조회,89
골프웨어,활동/스포츠,56560,아쿠아슈즈,신발,76100,골프 아쿠아슈즈,65607,,,,,,미조회,90
데일리룩,스타일/무드,78500,런닝화,신발,54020,데일리 런닝화,65120,,,,,,미조회,91
데일리룩,스타일/무드,78500,레인부츠,신발,52630,데일리 레인부츠,64276,,,,,,미조회,92
결혼식 하객룩,이벤트/TPO,40330,샌들,신발,100300,결혼식 하객 샌들,63601,,,,,,미조회,93
골프웨어,활동/스포츠,56560,운동화,신발,70600,골프 운동화,63191,,,,,,미조회,94
요가복,활동/스포츠,38900,샌들,신발,100300,요가 샌들,62463,,,,,,미조회,95
데일리룩,스타일/무드,78500,앞치마,의류,45610,데일리 앞치마,59836,,,,,,미조회,96
여름 원피스,시즌/날씨,65000,레인부츠,신발,52630,여름 레인부츠,58489,,,,,,미조회,97
데일리룩,스타일/무드,78500,바람막이,의류,42400,데일리 바람막이,57692,,,,,,미조회,98
부모님 선물,선물/관계,4390,크림,뷰티/향수,732600,부모님 크림,56711,,,,,,미조회,99
골프웨어,활동/스포츠,56560,블라우스,의류,55400,골프 블라우스,55977,,,,,,미조회,100
결혼식 하객룩,이벤트/TPO,40330,아쿠아슈즈,신발,76100,결혼식 하객 아쿠아슈즈,55400,,,,,,미조회,101
골프웨어,활동/스포츠,56560,런닝화,신발,54020,골프 런닝화,55275,,,,,,미조회,102
결혼식 하객룩,이벤트/TPO,40330,백팩,가방,75600,결혼식 하객 백팩,55217,,,,,,미조회,103
골프웨어,활동/스포츠,56560,레인부츠,신발,52630,골프 레인부츠,54560,,,,,,미조회,104
요가복,활동/스포츠,38900,아쿠아슈즈,신발,76100,요가 아쿠아슈즈,54409,,,,,,미조회,105
결혼식 하객룩,이벤트/TPO,40330,에코백,가방,71800,결혼식 하객 에코백,53812,,,,,,미조회,106
결혼식 하객룩,이벤트/TPO,40330,크로스백,가방,70500,결혼식 하객 크로스백,53322,,,,,,미조회,107
요가복,활동/스포츠,38900,운동화,신발,70600,요가 운동화,52406,,,,,,미조회,108
친구 생일선물,선물/관계,3600,크림,뷰티/향수,732600,친구 생일 크림,51355,,,,,,미조회,109
골프웨어,활동/스포츠,56560,앞치마,의류,45610,골프 앞치마,50791,,,,,,미조회,110
데일리룩,스타일/무드,78500,장화,신발,32670,데일리 장화,50642,,,,,,미조회,111
데일리룩,스타일/무드,78500,구명조끼,의류,31410,데일리 구명조끼,49656,,,,,,미조회,112
데일리룩,스타일/무드,78500,티셔츠,의류,30300,데일리 티셔츠,48770,,,,,,미조회,113
여자친구 선물,선물/관계,3160,크림,뷰티/향수,732600,여자친구 크림,48115,,,,,,미조회,114
결혼식 하객룩,이벤트/TPO,40330,블라우스,의류,55400,결혼식 하객 블라우스,47268,,,,,,미조회,115
결혼식 하객룩,이벤트/TPO,40330,런닝화,신발,54020,결혼식 하객 런닝화,46676,,,,,,미조회,116
요가복,활동/스포츠,38900,블라우스,의류,55400,요가 블라우스,46423,,,,,,미조회,117
결혼식 하객룩,이벤트/TPO,40330,레인부츠,신발,52630,결혼식 하객 레인부츠,46071,,,,,,미조회,118
요가복,활동/스포츠,38900,런닝화,신발,54020,요가 런닝화,45841,,,,,,미조회,119
장례식 복장,이벤트/TPO,13350,원피스,의류,154700,장례식 원피스,45445,,,,,,미조회,120
요가복,활동/스포츠,38900,레인부츠,신발,52630,요가 레인부츠,45247,,,,,,미조회,121
여름 원피스,시즌/날씨,65000,구명조끼,의류,31410,여름 구명조끼,45185,,,,,,미조회,122
데일리룩,스타일/무드,78500,플랫슈즈,신발,24770,데일리 플랫슈즈,44096,,,,,,미조회,123
장례식 복장,이벤트/TPO,13350,뮬,신발,141900,장례식 뮬,43524,,,,,,미조회,124
골프웨어,활동/스포츠,56560,골프공,골프,32870,골프 골프공,43118,,,,,,미조회,125
골프웨어,활동/스포츠,56560,장화,신발,32670,골프 장화,42986,,,,,,미조회,126
결혼식 하객룩,이벤트/TPO,40330,앞치마,의류,45610,결혼식 하객 앞치마,42889,,,,,,미조회,127
남자친구 선물,선물/관계,2470,크림,뷰티/향수,732600,남자친구 크림,42538,,,,,,미조회,128
데일리룩,스타일/무드,78500,셔츠,의류,22740,데일리 셔츠,42250,,,,,,미조회,129
골프웨어,활동/스포츠,56560,구명조끼,의류,31410,골프 구명조끼,42149,,,,,,미조회,130
데일리룩,스타일/무드,78500,우비,의류,22620,데일리 우비,42139,,,,,,미조회,131
요가복,활동/스포츠,38900,앞치마,의류,45610,요가 앞치마,42122,,,,,,미조회,132
골프웨어,활동/스포츠,56560,스니커즈,신발,31090,골프 스니커즈,41934,,,,,,미조회,133
러닝복,활동/스포츠,11260,원피스,의류,154700,러닝 원피스,41736,,,,,,미조회,134
결혼식 하객룩,이벤트/TPO,40330,바람막이,의류,42400,결혼식 하객 바람막이,41352,,,,,,미조회,135
요가복,활동/스포츠,38900,바람막이,의류,42400,요가 바람막이,40612,,,,,,미조회,136
장례식 복장,이벤트/TPO,13350,슬리퍼,신발,122500,장례식 슬리퍼,40440,,,,,,미조회,137
장례식 복장,이벤트/TPO,13350,캐리어,가방,122300,장례식 캐리어,40407,,,,,,미조회,138
