키워드,검색량,네이버검색량,추이,난이도,섹션,패션,LF몰,W컨셉,한섬,SSF샵,SI빌리지,Status,순위,우선순위
반팔,2900,11880,급하락,,의류,Y,0,0,0,0,0,미수집,34,34순위
슬리브리스,1900,10660,급하락,,의류,Y,0,0,0,0,0,미수집,36,36순위
플리츠,1300,45060,급하락,,의류,Y,0,0,0,0,0,미수집,13,13순위
긴팔,590,750,유지,,의류,Y,0,0,0,0,0,미수집,99,99순위
스웻,140,310,하락,,의류,Y,0,0,0,0,0,미수집,115,115순위
맨투맨,9900,8870,급상승,,의류,Y,0,0,0,0,0,미수집,40,40순위
리넨,1000,1970,급하락,,의류,Y,0,0,0,0,0,미수집,86,86순위
데님,22200,3970,상승,22,의류,Y,0,0,0,46,0,Missing,24,24순위
크롭,4400,4230,급하락,,의류,Y,0,0,0,0,0,미수집,61,61순위
스트라이프,4400,8280,급하락,,의류,Y,0,0,0,0,0,미수집,45,45순위
체크,6600,8880,급하락,,의류,Y,0,0,0,0,0,미수집,39,39순위
울,3600,5160,하락,,의류,Y,0,0,0,0,0,미수집,56,56순위
울캐시미어,0,15,급하락,,의류,Y,0,0,0,0,0,미수집,130,130순위
린넨,4400,20400,급하락,,의류,Y,0,0,0,0,0,미수집,22,22순위
코튼,1900,3470,급하락,,의류,Y,0,0,0,0,0,미수집,69,69순위
쉬폰,1600,2300,급하락,,의류,Y,0,0,0,0,0,미수집,81,81순위
실크,3600,3770,하락,,의류,Y,0,0,0,0,0,미수집,67,67순위
카라,12100,39540,유지,,의류,Y,0,0,0,0,0,미수집,14,14순위
헨리넥,0,7530,상승,,의류,Y,0,0,0,0,0,미수집,49,49순위
가디건,9900,14210,급상승,20,의류,Y,0,0,0,14,0,Missing,10,10순위
라운드넥,0,540,하락,,의류,Y,0,0,0,0,0,미수집,107,107순위
브이넥,1300,1340,유지,,의류,Y,0,0,0,0,0,미수집,90,90순위
베스트,4400,6900,하락,,의류,Y,0,0,0,0,0,미수집,51,51순위
터틀넥,5400,3820,급상승,,의류,Y,0,0,0,0,0,미수집,66,66순위
슬랙스,14800,15360,급상승,16,의류,Y,0,14,0,0,0,Missing,9,9순위
면팬츠,0,200,하락,,의류,Y,0,0,0,0,0,미수집,117,117순위
와이드,1900,3310,급하락,,의류,Y,0,0,0,0,0,미수집,70,70순위
부츠컷,0,3380,급상승,,신발,Y,0,0,0,0,0,미수집,27,27순위
스트레이트,2900,14100,급하락,,의류,Y,0,0,0,0,0,미수집,29,29순위
