키워드,네이버검색량,PC,모바일,경쟁정도,추이지수,추이,월별추이
결혼식 하객룩,36790,3790,33000,높음,59.5,급상승,57.7|34.9|63.8|91.4|91.4|80.8|52.0|51.4|54.9|99.9|100|88.7|59.5
하객 원피스,6730,900,5830,높음,10.9,하락,21.2|12.7|21.4|24.1|21.1|18.2|14.3|15.1|13.5|17.5|18.0|16.2|10.9
면접 복장,4520,710,3810,높음,7.3,급하락,16.2|16.0|15.9|20.3|24.1|25.6|17.8|17.4|13.1|15.3|14.2|13.2|7.3
면접 정장,1340,220,1120,중간,2.1,급하락,3.3|3.7|3.7|3.9|4.4|4.8|3.8|4.1|2.8|2.9|3.0|2.8|2.1
소개팅룩,1780,430,1350,높음,2.8,하락,4.6|4.4|4.7|4.9|4.1|3.8|2.9|2.9|2.6|4.0|4.4|4.3|2.8
데이트룩,990,230,760,높음,43.5,하락,72.4|65.9|62.8|70.1|65.9|58.8|48.7|49.5|49.9|65.7|67.0|53.6|43.5
졸업식 정장,15,5,10,높음,23.8,급상승,0.8|0.8|6.7|10.0|23.8
입학식 옷,10,5,5,낮음,12.4,급상승,3.7|6.2|22.3|12.4
상견례 룩,1120,290,830,높음,48.0,급상승,53.2|35.7|45.4|61.7|62.0|60.2|43.0|57.1|61.7|94.7|100|78.7|48.0
돌잔치 옷,820,110,710,높음,34.7,급하락,46.8|49.7|53.4|54.8|39.1|36.3|33.4|40.9|28.7|34.3|34.2|34.9|34.7
장례식 복장,12930,1030,11900,높음,63.4,급하락,100|94.9|97.2|92.5|85.7|72.9|61.7|60.2|50.5|64.7|68.5|72.1|63.4
파티룩,290,50,240,높음,1.1,급하락,2.1|2.0|2.0|2.2|3.2|5.9|10.0|2.8|1.6|1.6|1.4|1.4|1.1
연말 모임룩,10,5,5,낮음,0.0,급하락,0.4|10.2|20.1|0.7|0.0
동창회 옷,10,5,5,높음,,,
발표회 옷,10,5,5,높음,0.0,유지,0.0|0.0
여름 코디,4550,940,3610,높음,33.5,급하락,59.3|55.6|28.2|6.4|1.9|2.3|2.9|4.2|5.2|8.5|22.1|34.6|33.5
겨울 코디,120,10,110,높음,0.3,급하락,1.0|2.3|5.0|6.8|24.4|66.6|70.6|41.9|13.6|2.3|0.2|0.3|0.3
봄 코디,80,20,60,높음,0.3,급상승,1.0|0.0|0.3|0.3|0.6|1.3|6.3|33.2|100|71.6|13.6|0.3
가을 코디,150,30,120,높음,0.6,급하락,1.4|3.5|20.1|92.9|96.2|23.6|1.6|1.3|0.7|0.9|0.9|0.2|0.6
간절기 코디,15,5,10,높음,0.4,급하락,0.7|6.4|4.5|0.3|1.2|3.7|1.8|0.4
환절기 옷,10,5,5,낮음,0.1,급하락,1.3|1.5|0.2|0.6|0.1
장마철 신발,1750,380,1370,높음,30.5,급하락,100|11.9|1.4|0.2|0.9|8.1|24.3|30.5
초여름 옷,10,5,5,높음,0.3,유지,0.3
한여름 옷,15,5,10,높음,0.1,유지,0.2|0.1
초겨울 코디,50,10,40,높음,0.1,급상승,0.3|0.1|0.4|3.1|35.4|33.2|2.6|2.0|0.3|1.0|0.1
봄 원피스,200,30,170,높음,0.2,급상승,0.2|0.2|0.3|0.2|0.2|0.3|0.6|2.0|6.5|14.8|7.4|1.2|0.2
여름 원피스,65900,14000,51900,높음,66.8,급하락,85.4|100|38.6|13.2|9.9|13.5|18.0|24.0|16.7|16.4|24.9|49.6|66.8
겨울 코트,610,90,520,높음,0.6,급하락,1.0|1.5|2.7|3.4|16.2|21.6|22.3|17.5|11.0|4.6|0.4|0.5|0.6
가을 자켓,230,30,200,높음,0.2,급하락,0.2|0.6|3.8|15.6|17.0|2.5|0.3|0.3|0.3|0.5|0.2|0.1|0.2
여름 휴가룩,1680,390,1290,높음,1.7,급하락,1.4|3.4|1.7|0.5|0.4|0.6|0.7|0.9|0.6|0.5|0.4|0.4|1.7
제주도 여행룩,270,60,210,높음,1.2,급하락,2.8|2.4|3.4|2.4|1.5|0.4|0.1|0.4|0.5|1.3|1.2|1.3|1.2
발리 옷,240,40,200,높음,1.6,급하락,3.6|3.3|3.2|3.6|3.3|2.6|2.1|2.4|1.9|2.5|1.8|2.2|1.6
동남아 여행룩,260,50,210,높음,1.3,급하락,11.3|14.3|10.7|10.1|11.5|7.8|6.7|8.7|6.8|7.7|3.5|1.7|1.3
호캉스룩,220,30,190,높음,1.0,급하락,1.9|2.5|1.9|1.2|0.5|0.4|0.5|0.7|0.6|0.3|0.4|0.6|1.0
비치웨어,6590,1220,5370,높음,41.0,급하락,57.3|100|61.8|32.6|24.2|39.4|36.7|45.8|33.3|32.0|26.8|28.7|41.0
리조트룩,790,160,630,높음,6.6,급하락,8.7|11.7|5.8|4.1|2.5|2.8|2.2|3.9|2.8|2.7|2.7|4.6|6.6
해외여행 옷,55,5,50,높음,0.1,급하락,1.0|1.3|0.9|1.5|0.6|1.0|1.0|1.3|0.7|0.4|0.2|0.0|0.1
휴양지룩,4330,930,3400,높음,36.4,급하락,66.5|86.2|63.3|56.8|51.9|70.3|76.7|100|71.0|60.3|40.0|32.9|36.4
여행 원피스,840,150,690,높음,6.9,급하락,10.8|13.3|10.3|8.2|3.2|2.8|2.9|5.1|4.9|6.5|7.4|6.7|6.9
공항 패션,2930,450,2480,높음,24.5,급하락,43.0|38.8|31.9|33.0|29.2|27.6|24.3|28.3|24.2|30.0|23.1|24.6|24.5
물놀이 옷,1190,190,1000,높음,11.2,급하락,11.0|30.2|14.8|1.7|0.2|0.3|0.3|1.1|1.2|0.7|1.3|3.7|11.2
남자친구 선물,2400,410,1990,높음,23.1,급하락,54.0|57.5|54.7|47.2|40.1|46.1|70.9|40.8|37.0|32.4|25.0|25.2|23.1
여자친구 선물,3030,650,2380,높음,29.0,급하락,55.7|58.9|54.7|48.8|47.3|50.5|81.1|50.8|39.4|40.8|33.0|33.4|29.0
부모님 선물,4140,860,3280,높음,42.0,급상승,54.9|55.1|58.2|72.6|45.6|44.0|62.9|58.7|52.6|43.8|94.0|100|42.0
엄마 선물,1740,390,1350,높음,17.0,하락,29.2|27.4|28.3|34.4|26.0|25.0|32.2|28.5|23.8|18.8|26.0|26.2|17.0
아빠 선물,1480,300,1180,높음,0.5,상승,1.0|0.8|0.8|1.1|0.8|0.8|1.2|1.0|0.8|0.7|1.0|1.3|0.5
남편 선물,1010,160,850,높음,0.4,급하락,0.6|0.5|0.5|0.6|0.5|0.6|0.9|0.5|0.4|0.5|0.4|0.4|0.4
아내 선물,280,70,210,높음,0.1,급하락,0.2|0.2|0.1|0.2|0.1|0.1|0.3|0.1|0.1|0.1|0.1|0.1|0.1
어버이날 선물,790,150,640,높음,0.3,급상승,0.3|0.5|0.4|0.2|0.1|0.2|0.2|0.4|0.6|2.0|58.7|100|0.3
어린이날 선물,460,130,330,높음,0.1,급상승,0.3|0.1|0.1|0.1|0.1|0.1|0.5|0.2|0.4|2.5|35.4|19.2|0.1
화이트데이 선물,25,5,20,높음,0.0,급상승,0.0|0.0|0.0|0.2|3.7|36.1|0.0|0.0
발렌타인 선물,25,5,20,높음,0.0,급상승,0.0|0.0|0.0|0.3|2.0|0.2|0.0
친구 생일선물,3490,480,3010,높음,1.0,급하락,1.9|1.9|1.8|1.6|1.4|1.2|1.1|1.4|1.3|1.3|1.1|1.1|1.0
크리스마스 선물,460,110,350,높음,0.1,급하락,0.2|0.2|0.3|0.6|1.8|17.4|100|0.4|0.2|0.1|0.1|0.1|0.1
결혼 선물,6000,1220,4780,높음,1.6,급하락,3.1|3.0|3.6|4.3|3.8|3.5|3.1|2.9|2.1|2.4|2.4|2.0|1.6
골프웨어,54960,9060,45900,중간,70.8,하락,97.3|84.4|77.0|89.8|100|80.1|49.9|42.4|51.3|86.0|89.9|82.4|70.8
골프 코디,250,40,210,높음,0.2,급상승,0.2|0.1|0.1|0.2|0.2|0.1|0.0|0.0|0.1|0.3|0.3|0.2|0.2
등산복,8470,1720,6750,중간,10.6,급상승,15.2|10.6|12.4|18.5|26.4|22.5|15.6|15.2|14.6|21.1|18.6|16.5|10.6
등산 옷차림,140,10,130,중간,0.1,급상승,0.1|0.0|0.1|0.4|0.4|0.1|0.1|0.0|0.3|0.3|0.3|0.1
캠핑룩,640,120,520,높음,0.8,하락,1.8|1.1|1.0|1.9|2.1|1.3|0.8|0.4|0.4|0.7|1.5|1.3|0.8
홈트레이닝복,35,5,30,높음,0.0,하락,0.0|0.0|0.0|0.0|0.0|0.0
요가복,39410,6210,33200,높음,74.8,하락,91.9|100|84.2|85.2|75.9|75.4|67.3|79.2|60.6|83.1|78.8|70.9|74.8
러닝복,11350,2240,9110,높음,21.8,급하락,31.3|41.2|55.1|61.0|44.6|27.8|15.4|18.4|22.7|32.6|28.0|21.8|21.8
헬스복,6630,1170,5460,높음,12.7,급하락,19.5|23.4|20.5|17.4|14.4|16.4|15.6|19.2|13.9|16.2|14.3|13.4|12.7
테니스 룩,310,50,260,높음,0.5,하락,0.7|0.7|0.5|0.5|0.4|0.2|0.1|0.2|0.2|0.4|0.5|0.6|0.5
자전거 복장,1050,220,830,높음,75.9,급상승,76.0|63.6|63.6|59.9|53.6|24.1|6.1|13.1|31.0|80.7|100|94.8|75.9
수영장 옷,140,30,110,높음,4.3,급하락,14.2|28.4|16.0|1.1|0.4|0.6|0.4|0.5|4.3
