키워드,네이버검색량,PC,모바일,경쟁정도,추이지수,추이,월별추이
결혼 반지,13820,2520,11300,높음,15.0,하락,21.9|19.1|19.8|20.2|19.5|20.5|17.8|20.0|22.0|18.1|18.4|15.5|15.0
골프 거리측정기,26930,5330,21600,높음,30.6,급상승,21.1|18.5|19.1|17.4|18.6|24.7|18.0|12.5|8.5|14.2|25.2|28.8|30.6
여름 원피스,65000,13700,51300,높음,49.6,급하락,55.4|85.4|100|38.6|13.2|9.9|13.5|18.0|24.0|16.7|16.4|24.9|49.6
여름 샌들,42370,8770,33600,높음,31.9,급하락,60.5|91.9|78.7|23.9|5.3|2.5|2.7|3.0|3.9|3.0|5.6|14.7|31.9
골프 티셔츠,6290,850,5440,중간,6.6,급하락,8.5|8.2|7.5|6.3|6.2|5.2|2.8|1.6|1.5|2.1|5.1|6.9|6.6
여름 바지,23220,4220,19000,중간,53.1,급하락,68.2|99.4|100|28.6|7.0|2.7|3.3|4.1|5.8|4.5|8.9|29.1|53.1
골프 드라이버,4630,1090,3540,높음,12.8,하락,16.9|14.7|13.4|14.6|15.2|14.2|12.4|11.2|11.4|10.2|13.0|13.5|12.8
여름 셔츠,13900,2600,11300,높음,30.7,급하락,37.9|50.3|44.7|19.1|5.0|1.4|1.4|2.0|2.7|2.2|3.6|13.8|30.7
여름 운동화,33990,5190,28800,높음,87.4,급하락,65.5|81.1|53.7|12.5|2.9|1.1|1.1|1.1|1.8|3.4|13.9|50.4|87.4
여름 바람막이,18700,2900,15800,높음,62.2,급하락,77.6|60.6|24.5|9.5|5.1|2.3|1.2|1.7|2.5|3.5|10.5|40.2|62.2
골프 바지,8030,1780,6250,높음,25.9,유지,34.8|28.0|22.8|20.4|25.7|30.7|27.5|12.7|11.0|22.5|27.9|29.8|25.9
여름 블라우스,30450,3950,26500,높음,68.5,급하락,65.3|100|91.3|40.5|9.9|3.1|3.4|3.7|6.1|5.3|7.9|26.5|68.5
여름 슬랙스,7270,1330,5940,높음,18.1,급하락,21.4|27.6|23.8|7.7|1.9|0.3|0.2|0.3|0.5|0.6|2.2|9.1|18.1
요가 바지,11750,1450,10300,높음,28.6,급하락,33.4|35.9|38.6|33.2|31.3|24.0|25.3|27.3|28.1|22.1|27.8|29.4|28.6
골프 퍼터,2040,490,1550,중간,6.0,급하락,8.0|6.9|6.3|7.4|7.4|6.7|6.1|4.9|4.7|4.7|5.5|5.6|6.0
러닝 바지,4160,900,3260,높음,23.6,급하락,26.4|36.4|45.6|55.8|64.8|59.0|39.0|20.4|20.9|23.8|34.4|27.4|23.6
하객 원피스,7330,960,6370,높음,53.1,급하락,100|69.4|41.5|70.0|78.9|69.2|59.7|46.8|49.4|44.2|57.2|59.0|53.1
헬스 운동화,6030,880,5150,높음,31.9,급하락,40.6|44.2|51.9|52.7|46.5|36.5|32.0|30.4|42.0|30.4|40.8|35.0|31.9
여름 슬리퍼,12790,2090,10700,높음,63.6,급하락,75.4|92.5|72.0|23.1|6.9|3.9|5.3|7.5|8.3|8.2|20.3|46.6|63.6
여름 티셔츠,5030,880,4150,높음,23.6,급하락,53.9|59.2|42.8|14.3|6.0|4.0|4.7|6.2|7.4|4.8|7.2|16.4|23.6
여름 앞치마,6000,740,5260,높음,11.7,급하락,11.5|13.4|10.9|3.6|1.1|0.2|0.1|0.0|0.2|0.9|2.8|6.9|11.7
골프 아이언,1180,340,840,중간,2.6,하락,3.5|3.2|3.4|3.4|3.3|3.2|2.7|2.4|2.3|2.4|3.0|2.7|2.6
휴양지 원피스,10950,1490,9460,높음,23.0,급하락,64.8|71.4|100|66.0|45.1|31.8|34.2|37.1|49.8|39.3|35.9|25.6|23.0
아빠 시계,320,60,260,높음,0.9,급하락,1.1|1.1|1.0|1.2|1.0|0.9|0.6|0.9|0.9|0.7|0.7|0.7|0.9
골프 바람막이,2130,380,1750,높음,14.3,급상승,25.6|6.4|2.3|4.2|23.9|32.3|10.2|3.9|3.7|8.1|23.4|25.9|14.3
장례식 운동화,130,10,120,중간,1.0,급하락,3.8|2.7|3.8|3.3|3.1|2.3|2.4|2.6|2.1|1.6|1.5|2.2|1.0
여름 구두,5140,770,4370,높음,62.5,급하락,80.5|100|75.5|30.8|6.2|1.0|0.8|1.0|3.0|4.0|11.7|33.6|62.5
면접 운동화,270,10,260,높음,3.1,급하락,5.2|4.8|4.6|4.9|5.0|4.5|4.2|4.0|4.3|2.8|3.8|3.4|3.1
장례식 구두,120,10,110,높음,1.0,급하락,1.6|2.2|1.6|1.9|1.3|0.8|1.1|1.0|1.4|0.7|1.2|0.8|1.0
등산 바람막이,780,160,620,중간,24.4,급상승,35.5|11.9|5.9|12.9|38.0|51.3|31.6|20.9|28.5|32.7|59.1|41.6|24.4
공항 캐리어,200,20,180,높음,3.6,급하락,6.3|6.2|7.3|9.4|5.6|5.1|4.4|5.9|6.9|5.2|4.7|3.4|3.6
