키워드,네이버검색량,PC,모바일,경쟁정도,추이지수,추이,월별추이
가습기,26430,6530,19900,중간,8.1,급상승,10.9|9.2|6.4|7.2|15.1|52.2|100|87.0|68.0|33.3|19.3|12.5|8.1
공기청정기,86000,24400,61600,높음,22.4,하락,39.7|31.7|29.5|27.2|21.6|25.1|26.7|25.7|26.7|27.2|31.6|28.9|22.4
기타계절가전,10,5,5,낮음,,,
냉온수매트,4230,940,3290,높음,0.6,급하락,0.6|1.4|1.6|0.5|0.3|1.0|0.9|0.5|0.4|0.3|0.3|0.4|0.6
냉풍기,93500,23000,70500,중간,14.0,급하락,20.4|34.1|53.6|13.5|3.1|0.7|0.6|0.6|0.8|0.8|1.8|6.2|14.0
서큘레이터,74800,18800,56000,중간,10.9,급하락,10.7|18.2|17.1|6.7|2.4|1.2|0.9|0.9|0.9|0.8|1.7|4.7|10.9
선풍기,425800,91700,334100,높음,62.9,급하락,60.1|100|72.6|35.8|24.4|13.1|3.1|2.4|3.9|3.3|8.0|25.2|62.9
에어컨,204700,51000,153700,높음,29.6,급하락,40.7|54.9|80.1|37.5|24.4|16.3|8.2|7.3|10.1|9.6|15.5|21.4|29.6
온풍기,2930,810,2120,높음,0.6,급상승,0.9|0.7|0.9|1.1|2.8|13.7|21.2|20.9|15.2|4.0|1.7|0.9|0.6
전기요,1640,320,1320,중간,0.5,유지,1.2|0.7|0.5|0.6|2.2|7.9|8.1|5.1|2.9|1.4|1.2|0.8|0.5
제습기,298000,61300,236700,중간,44.0,급하락,82.3|100|65.9|28.1|19.5|23.1|11.1|11.6|10.1|9.6|14.6|21.5|44.0
히터,5710,3390,2320,중간,1.2,급상승,0.7|0.6|0.5|2.9|6.5|10.1|8.0|9.7|8.4|2.3|2.4|1.7|1.2
리퍼상품,900,230,670,높음,0.1,급하락,0.2|0.2|0.2|0.2|0.2|0.2|0.2|0.2|0.2|0.2|0.2|0.1|0.1
모바일 주변기기,10,5,5,높음,,,
휴대폰,32080,8180,23900,중간,5.2,급하락,8.7|7.3|7.7|11.1|18.2|14.3|5.5|5.7|8.2|5.3|5.7|4.7|5.2
휴대폰 케이스,28690,3990,24700,높음,19.4,하락,25.1|23.2|25.4|27.4|25.1|24.1|20.7|22.0|23.8|20.1|24.3|19.1|19.4
건식 다리미,1680,320,1360,중간,1.2,상승,1.4|1.2|1.0|1.1|1.0|1.0|0.8|0.7|0.6|0.7|1.4|1.2|1.2
건조기,58400,14400,44000,높음,40.2,급하락,67.7|69.6|69.7|75.1|94.2|100|52.5|47.5|54.4|41.9|42.8|40.4|40.2
고데기,24360,3560,20800,중간,18.4,하락,25.9|22.7|24.8|24.1|19.7|19.6|19.3|21.4|21.4|20.9|22.9|19.3|18.4
기타 생활가전,10,5,5,낮음,,,
로봇 청소기,133300,26000,107300,중간,81.2,하락,95.5|97.4|100|98.9|92.0|83.7|82.7|81.2|91.5|94.0|92.4|77.6|81.2
면도기,27460,8660,18800,중간,18.1,하락,21.9|20.9|21.0|39.3|65.0|51.0|20.8|24.1|29.1|20.0|20.7|17.7|18.1
물걸레 청소기,35510,7310,28200,중간,21.0,급하락,28.1|28.1|27.5|25.8|23.6|23.0|20.3|20.0|21.3|19.5|20.6|19.0|21.0
미싱,7860,1400,6460,높음,4.9,급하락,7.1|6.5|6.5|6.5|5.8|5.7|5.4|5.4|5.3|4.3|5.2|5.6|4.9
살균기,970,300,670,중간,0.5,급하락,0.9|0.8|0.8|0.8|0.8|0.9|0.7|0.7|0.7|0.6|0.7|0.8|0.5
세탁기,92300,21100,71200,높음,50.2,급하락,67.6|67.6|76.9|87.3|100|85.7|52.8|52.9|65.6|50.9|52.4|50.0|50.2
스틱 청소기,370,100,270,중간,0.3,급상승,0.1|0.1|0.2|0.2|0.2|0.1|0.2|0.2|0.2|0.2|0.2|0.2|0.3
스팀 다리미,64400,11400,53000,높음,41.0,하락,45.2|38.3|35.8|31.3|32.2|33.7|28.1|22.6|17.9|19.3|32.5|38.4|41.0
스팀 청소기,65600,10500,55100,높음,38.7,하락,35.9|40.6|40.1|39.1|34.2|33.2|47.4|35.3|42.2|37.7|39.4|33.2|38.7
안마기,14770,2470,12300,높음,11.9,급하락,16.2|13.0|11.6|13.3|12.6|12.0|9.4|10.9|11.6|11.7|10.0|10.1|11.9
안마의자,65400,11000,54400,높음,63.1,급하락,92.9|85.7|85.8|95.5|73.4|82.4|68.5|61.1|63.2|66.8|59.4|58.5|63.1
스피커,40200,15600,24600,높음,32.7,급하락,45.6|46.1|43.0|69.7|100|76.8|46.9|56.2|86.4|44.7|37.5|33.0|32.7
핸디 청소기,9380,1900,7480,중간,7.9,하락,9.8|9.9|9.9|12.5|12.4|8.7|9.2|8.0|8.3|7.8|8.6|7.6|7.9
침구 청소기,23170,3570,19600,높음,20.2,상승,17.4|20.0|18.1|18.6|21.2|24.3|23.4|30.8|31.8|21.1|19.9|20.5|20.2
청소기 액세서리,25,5,20,높음,0.0,하락,0.0|0.2|0.8|0.0|0.0
진공 청소기,8580,2310,6270,높음,23.5,하락,29.4|29.6|30.6|44.1|31.2|29.9|28.6|28.8|30.9|27.1|27.3|23.0|23.5
족욕기,15690,2390,13300,중간,51.9,상승,67.7|53.1|36.9|41.6|53.3|71.6|89.7|92.1|100|71.3|65.6|58.1|51.9
제모기,15760,1960,13800,중간,40.3,급하락,59.7|88.6|76.4|69.1|40.4|35.9|21.8|21.5|25.8|21.7|25.4|33.5|40.3
전동칫솔,16400,3700,12700,중간,44.9,하락,49.7|51.0|55.8|61.4|52.1|47.2|51.4|60.4|72.5|57.6|54.6|44.6|44.9
헤어드라이기,17950,3950,14000,높음,51.0,급상승,41.2|37.3|52.7|49.0|36.3|36.1|54.6|64.7|61.9|59.6|61.6|49.8|51.0
TV,48900,15900,33000,중간,58.3,급하락,96.8|91.7|98.5|100|80.5|90.6|72.7|76.4|79.1|69.8|69.4|59.4|58.3
홈시어터,2560,660,1900,중간,4.7,하락,6.1|5.5|6.4|7.5|5.8|5.7|6.8|6.0|7.3|6.2|5.7|5.3|4.7
액세서리,3120,990,2130,높음,5.2,급하락,8.5|7.7|8.5|9.7|7.7|6.2|6.1|5.8|5.6|4.7|5.6|5.3|5.2
스마트기기,400,150,250,높음,0.6,급하락,1.0|0.8|1.3|1.0|1.0|0.8|1.0|0.9|0.7|0.7|1.1|0.7|0.6
스마트 액세서리,10,5,5,높음,,,
게임타이틀,100,40,60,높음,0.0,급하락,0.2|0.0|0.2|0.9|0.1|0.0|0.0|0.0|0.0|0.0|0.0|0.0
게임기,14110,7690,6420,중간,26.4,하락,32.4|28.6|24.7|53.1|100|83.6|21.1|25.6|34.4|24.7|28.8|21.3|26.4
기타주방가전,10,5,5,낮음,,,
오디오,5270,1360,3910,높음,9.8,하락,13.3|13.1|12.7|13.3|11.9|12.7|12.3|13.3|14.5|12.2|11.7|10.5|9.8
음향 액세서리,10,5,5,낮음,,,
이어폰,50500,12000,38500,중간,34.0,하락,43.8|44.0|46.7|68.3|100|79.8|46.8|49.3|61.5|44.1|46.1|38.1|34.0
헤드폰,21190,9190,12000,중간,15.7,하락,18.2|22.1|25.6|38.1|65.3|51.5|19.1|20.8|27.8|22.1|20.0|17.6|15.7
가스레인지,26200,4600,21600,중간,19.6,급하락,27.7|26.3|31.4|31.5|32.3|34.3|30.4|30.1|31.3|27.5|24.6|19.9|19.6
글라인더,4110,940,3170,높음,3.3,상승,3.7|3.4|3.3|3.6|3.6|3.2|3.8|4.2|4.4|3.2|4.0|3.6|3.3
기타 음향기기,10,5,5,낮음,,,
원액기,110,20,90,높음,0.1,급상승,0.1|0.1|0.1|0.1|0.1|0.1|0.5|0.3|0.3|0.3|0.2|0.2|0.1
와플,26100,2100,24000,높음,24.8,상승,27.3|22.9|19.4|19.8|31.6|30.7|24.4|25.3|26.6|23.4|26.1|25.2|24.8
오븐,14900,3100,11800,중간,12.9,하락,17.4|15.8|16.0|17.8|17.7|17.4|17.7|20.1|21.2|17.5|18.7|14.8|12.9
식품건조기,7220,1350,5870,높음,7.0,급하락,8.8|9.2|10.6|17.6|13.5|18.3|18.9|11.7|9.2|6.1|6.3|8.8|7.0
식기세척기,81200,13500,67700,높음,73.9,급하락,100|95.4|98.4|92.2|82.0|90.4|80.8|78.7|93.2|82.3|77.1|67.6|73.9
